game,critic_score,user_score
Turok,7,
Taiko no Tatsujin Wii,,
The Sims 3,7.5,
Resident Evil VII: Biohazard,7.9,
Country Dance,,
Wild ARMs 2,6.5,
Unreal Tournament III,8.6,
Summer Sports: Paradise Island (Others sales),,
Tom Clancy's EndWar,8,
LEGO Marvel Super Heroes 2,7.6,7.4
Fossil Fighters: Champions,7.5,
Mass Effect,9.1,
Bakugan: Battle Brawlers,6.2,
100 Classic Books,4,
The Fairly Odd Parents: Breakin Da Rules,,
Madden NFL 10,8,
Napoleon: Total War,8.5,
Adventures of Tron,,
Blazing Angels: Squadrons of WWII,6.8,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",6.8,
Evolve,7.4,5.1
Final Fantasy Crystal Chronicles: Ring of Fates,7.7,
Plants vs Zombies: Garden Warfare,,
Command & Conquer: Red Alert 3,8.2,
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,,
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,,
WWE SmackDown vs. RAW 2007,7.8,
Pro Pinball: Big Race USA,,
NFL Street,9.2,
The Darkness,7.7,
NHL 13,8.3,
Tony Hawk's Proving Ground,6.9,
The Sims 3: High-End Loft Stuff,,
Hidden Objects: Mystery Stories,,
Book of Spells,6.5,
MLB 2004,4.9,
2014 FIFA World Cup Brazil,7.9,
WWE 2K18,6.7,4.8
London 2012: The Official Video Game of the Olympic Games,6.2,
Naruto Shippuden: Ultimate Ninja 4,,
Taiko no Tatsujin Wii: Super Deluxe Edition,,
Castlevania: Lords of Shadow,7.9,
FIFA 15,,
Tiger Woods PGA Tour 2000,6,
Darkstone,6.7,
NCAA March Madness 2003,7.1,
TV Show King Party,5.8,
Finding Nemo,7,
Thrillville,7.5,
The LEGO Movie Videogame,6.5,
Jikkyou World Soccer 2000 Final Edition,,
Ratatouille,6.6,
Madagascar,6.8,
NHL 10,9.1,
Dragon Quest Monsters: Caravan Heart,,
Strawberry Shortcake: Summertime Adventure,,
Street Fighter Anniversary Collection,8.5,
Peppa Pig: Fun and Games,,
Legend of Legaia,8.1,
One Piece: Pirate Warriors 2,,
NHL 16,7.8,5.4
Freedom Wars,7.3,8.3
The Sims: Bustin' Out,7.9,
Resident Evil: Revelations 2,7.4,7
Keystone Kapers,,
Fist of the North Star: Ken's Rage,4.8,
Club Penguin: Elite Penguin Force - Herbert's Revenge,,
Plants vs Zombies: Garden Warfare,7.5,7.5
Shrek: Hassle at the Castle,7,
Toy Story 3: The Video Game,,
Suikoden IV,6.3,
Gods Eater Burst,7.1,
Disney's Kim Possible 2: Drakken's Demise,8.3,
Um Jammer Lammy,8.6,
Brothers In Arms: Road to Hill 30,,
Taiko no Tatsujin DS: Touch de Dokodon!,,
Tomb Raider: Definitive Edition,9.1,7.7
Animaniacs Ten Pin Alley,7.1,
Shaun White Snowboarding,6,
Spyro Reignited Trilogy,8.3,6.8
Wario: Master of Disguise,6,
The Biggest Loser: Challenge,,
Kung Fu Panda,7.5,
Dead or Alive 5,7.6,
Angry Birds Trilogy,7,4.6
Tearaway,9.3,8.9
MX vs. ATV Untamed,5.6,
The LEGO Movie Videogame,6.5,6.7
Transformers: The Game,4.3,
F-Zero GX,8.4,
Disney's Chicken Little,6.3,
Tiger Woods PGA Tour 09,8.5,
Scene It? Box Office Smash,7.6,
Yoshi Topsy-Turvy,,
Borderlands: The Pre-Sequel,,
Monster Jam: Maximum Destruction,3.6,
Crafting Mama,6,
Crash Bandicoot N. Sane Trilogy,7.9,6.9
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,,
World of Dragon Warrior - Torneko: The Last Hope,,
Wall-E,7.7,
Tiger Woods PGA Tour 09,,
Advance Wars 2: Black Hole Rising,8.8,
Centipede,5.9,
Drakengard,7.9,
SingStar Pop Hits,,
007: Quantum of Solace,5.6,
Kung-Fu Master,,
Champions: Return to Arms,7.7,
Need for Speed: Undercover,,
Dragon Quest Monsters Joker 3,,
Harry Potter and the Goblet of Fire,6.7,
BIT.TRIP RUNNER,7,
Tales of Berseria,7.9,7
SingStar R&B,,
Mary-Kate and Ashley: Magical Mystery Mall,,
Yakuza Zero,,
LEGO Dimensions,,
Tiger Woods PGA Tour 10,8.3,
LEGO City Undercover,8,7.7
Star Ocean: First Departure,7.5,
Far Cry 4,8.5,6.8
Super Robot Taisen Impact,,
One Piece: Burning Blood,6.6,7.3
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,,
Drawn to Life: The Next Chapter,7.4,
Harry Potter and the Half-Blood Prince,,
Crash Bandicoot Purple: Ripto's Rampage,6.7,
Spyro: A Hero's Tail,7,
Crash: Twinsanity,,
Shin Megami Tensei: Persona 3 Portable,8.9,
Batman: Return to Arkham,7.3,8.1
Rayman 3D,6.3,6.4
Max Payne 2: The Fall of Max Payne,8.6,
Sengoku Basara: Samurai Heroes,6.1,
GoldenEye: Rogue Agent,6.5,
WWE 2K15,,
New Play Control! Pikmin,7.7,9.3
Paws & Claws: Pet Vet,,
Dragon Ball: Raging Blast 2,6,
Real Heroes: Firefighter,7.4,
James Bond 007: Everything or Nothing,8.5,
Up,,
X2: Wolverine's Revenge,5.8,
NBA Live 06,9,
Battlefield 1942: The Road to Rome,8.3,
Castlevania,7.6,
Dai-3-Ji Super Robot Taisen ?: Shuuen no Ginga e,,
Phantasy Star Portable,7.1,9.1
Rayman 2: The Great Escape,9,
Tom Clancy's Rainbow Six,8.5,
Nicktoons Collection: Game Boy Advance Video Volume 1,,
Dead Island: Riptide,6.6,
LittleBigPlanet 3,,
The Walking Dead: Survival Instinct,4.5,
Just Dance 2014,7.5,7.6
TimeSplitters 2,9.1,
Onimusha: Dawn of Dreams,8.8,
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,,
Dungeon Siege III,7.3,4.7
Stuntman: Ignition,7.1,
Rock Band 3,9.2,
Scribblenauts: Unlimited,,
SpongeBob SquarePants: Game Boy Advance Video Volume 1,,
Konami Collector's Series: Arcade Advanced,8,
Lost Planet: Extreme Condition,6.3,
Jampack Volume 13 (RP-T),,
Cruis'n World,6.5,
Madden NFL 2001,8,
Rock of Ages,7,7.7
Crash of the Titans,6.3,
Aliens: Colonial Marines,4.5,
Lemony Snicket's A Series of Unfortunate Events,7.1,
X-Men Legends II: Rise of Apocalypse,8.5,
White Knight Chronicles II,5.4,
Nightmare Creatures,7.8,
Disney Sing It: Party Hits,,
LEGO Star Wars II: The Original Trilogy,8.2,
SingStar Queen,,
NBA Live 08,6.9,
WWE 2K16,7.2,5.4
Tony Hawk's Pro Skater 2x,7.5,
The Sims 3: Generations,6.5,3.7
Sim Theme Park,8.5,
Iron Man,5,
Just Dance 3,,
Wolfenstein,7.2,
FIFA Soccer 2003,8.4,
The Lord of the Rings: Conquest,5.9,
Dragon Age II,7.9,4.5
Monster Hunter 2,,
LEGO The Incredibles,6.5,6.8
Assassin's Creed IV: Black Flag,8.5,7.8
NASCAR 06: Total Team Control,8.5,
Condemned 2: Bloodshot,8.2,
Dogz,4.1,
A Bug's Life,6.1,
Super Castlevania IV,,
Worldwide Soccer Manager 2006,9,
Plants vs. Zombies: Garden Warfare 2,,
LEGO Pirates of the Caribbean: The Video Game,7,7.1
XCOM: Enemy Unknown,8.8,
Mobile Suit Z Gundam: AEUG vs. Titans,,
Juiced 2: Hot Import Nights,6.8,
Sega Rally Revo,,
Ape Escape 2,8,
X-Man,,
Dead Rising 2,7.7,
Shin Megami Tensei: Persona 3 FES,8.7,
FIFA Soccer 2002,8.5,
Final Fantasy VII International,,
Cooking Mama 4: Kitchen Magic!,,
Okami,9.4,9
NHL 2001,8.4,
Transformers: Revenge of the Fallen,6.1,
FIFA Soccer,8,7.2
Tony Hawk's Project 8,7.9,
Cabela's Big Game Hunter (2008),,
NieR,6.6,
Buzz Lightyear of Star Command,6,
Namco Museum,5.3,
Test Drive Unlimited 2,6.9,
Hand of Fate,7.8,7.7
Ghostbusters: The Video Game,7.7,
Nobunaga no Yabou: Haouden,,
Kinect Sports Rivals,7.3,5
Virtua Cop,,
Metal Gear Solid 2: Substance,8.7,
Tony Hawk's American Wasteland,8.5,
WWF in Your House,,
Family Feud: 2010 Edition,,
The Princess and the Frog,5.5,
Wild ARMs 3,7.6,
NBA ShootOut '97,9,
Madden NFL 07,8.5,
LEGO The Hobbit,7.2,6.6
Battlezone,,
Tiger Woods PGA Tour 2004,9,
Donkey Kong Barrel Blast,4.8,
Jak and Daxter: The Lost Frontier,7.5,
Guitar Hero: Metallica,8.9,
World of Final Fantasy,7.7,7.7
Tak 2: The Staff of Dreams,8.4,
Warriors Orochi 3,8.5,
Red Steel 2,7.8,8.5
Disney Universe,7.4,
Viewtiful Joe,9.4,
Beetle Adventure Racing!,9.2,
The Urbz: Sims in the City,8,
Disney's 102 Dalmatians: Puppies to the Rescue,,
South Park: The Fractured But Whole,8.4,7.7
Strike Force Bowling,4,
DJ Hero 2,8.7,
The Black Eyed Peas Experience,,
F1 2017,8.6,7.6
Bolt,4.5,
Halloween,,
Start the Party!,6.1,
Bass Landing,7.7,
Shellshock: Nam 67,,
Pixel Piracy,,
Mario's Picross,,
Pac-Man Player's Choice Bundle,,
Tousouchuu: Shijou Saikyou no Hunter-Tachi Kara Nigekire!,,
Prince of Persia: The Forgotten Sands,7.5,
NHL 15,6,3.7
Fighters MEGAMiX,,
Bahamut Lagoon,,
Tomb Raider III: Adventures of Lara Croft,7.3,
Phoenix Wright: Ace Attorney - Trials and Tribulations,7.9,
Battle of Giants: Dragons,7.2,
Harry Potter and the Half-Blood Prince,4.3,
Dragon Quest Monsters: Joker 2 Professional,,
NFL Quarterback Club 99,,
Super Robot Taisen ? Gaiden,,
Pac-Man Party,,
Wall-E,5.3,
Tiger Woods PGA Tour 12: The Masters,8,
SpongeBob's Atlantis SquarePantis,5.3,
NBA 2K9,8.3,
Dragon Ball Z: Ultimate Tenkaichi,5,
Wet,6.9,
Formula 1: Championship Edition,,
WWE SmackDown vs. Raw 2010,7.2,
SingStar Singalong With Disney,,
Fire Emblem: Shadow Dragon,8.2,
Metroid Prime: Trilogy,9,9.6
NFL Fever 2003,7.7,
Vanquish,8.5,
Samurai Warriors 2,5.6,
Advance Wars: Days of Ruin,8.4,
2 Games in 1: Sonic Battle & ChuChu Rocket!,,
Just Dance 2015,,
Robotech: Battlecry,8.2,
WWE 2K15,5.6,5.5
Dora the Explorer: Super Spies,,
Sacred 2: Fallen Angel,7.1,
Dynasty Warriors 8,8.7,
Skylanders SWAP Force,,
Texas Hold 'Em Poker,,
Time Crisis 3,8.4,
Knowledge is Power,7.1,7.5
Ganbaru Watashi no Kakei Diary,,
Rayman Legends,9.5,
Tony Hawk: RIDE,4.4,
Small Soldiers,7.2,
Half-Life 2,8.9,
Duke Nukem: Total Meltdown,7,
Machinarium,8,
Cabela's Monster Buck Hunter,,
Major League Baseball 2K8,7.4,
New Play Control! Pikmin 2,8.7,
Pro Evolution Soccer 2011,6,
Major League Baseball 2K9,6.8,
World of Zoo,,
Final Fantasy IV Advance,8.6,
Madden NFL 2003,8.2,
EA Sports UFC 2,7.6,5.6
Petz: Dogz Pack,,
Harry Potter and the Goblet of Fire,6,
Tomb Raider Chronicles,,
Dragon Ball Z: Buu's Fury,5.9,
Madden NFL 2002,8.6,
James Cameron's Avatar: The Game,3.9,
MySims Racing,,
Tony Hawk: RIDE,4.5,
Spider-Man: Mysterio's Menace,8.5,
Madden NFL 2000,8.4,
Game & Watch Gallery 4,6.4,
Naruto: Ultimate Ninja (US sales),,
New Carnival Games,,
Wipeout: The Game,,
Dragon Age: Inquisition,,
Tony Hawk's Underground,9.5,
Monster Trucks,,
Doom 3 BFG Edition,5.9,5.4
Wave Race: Blue Storm,8.4,
Ben 10: Alien Force,5.2,
Backyard Wrestling: Don't Try This at Home,6,
FORCED,7.2,7.7
Fight Night Round 2,9,
MonHun Nikki: Poka Poka Ailu Mura,,
NBA 2K8,7.5,
Okami,9,9.6
NBA 2K7,8.4,
Beat Hazard,7.6,
Suikoden,8.2,8
Muramasa: The Demon Blade,8,9.3
L.A. Noire,7.6,7.9
Fighters Uncaged,3.2,
Secret Agent Clank,7,
Rayman Arena,6.7,
Wolfenstein: The Old Blood,7.6,7.7
Call of Juarez: Bound in Blood,7.6,
Jaws Unleashed,,
Puyo Puyo Sun,,
Half-Life,8.4,
The Golden Compass,4,
The Golden Compass,3.5,
Split/Second,8.4,
Baldur's Gate: Tales of the Sword Coast,8.1,
International Superstar Soccer '98,9.1,
International Superstar Soccer 64,9,
Mickey's Speedway USA,6.8,
Ni no Kuni: Dominion of the Dark Djinn,,
Phantasy Star Portable 2,7.4,
Shogun 2: Total War,9,
TOCA Championship Racing,8,
NHL 17,7.7,4
NASCAR Heat 2002,8.1,
Littlest Pet Shop: Garden,,
Transformers: The Game,5.2,
From TV Animation One Piece: Grand Battle 2,,
BeatMania Append 3rdMix,,
Disney TH!NK Fast: The Ultimate Trivia Showdown,,
Game of Thrones: A Telltale Games Series,6.4,6.4
New Play Control! Donkey Kong Jungle Beat,8.4,
Xena: Warrior Princess,6.5,
Just Dance 2016,7.3,6.7
Tales of Zesteria,,
SimCity DS,7,
Front Mission,,
Lucius,6,6.1
Gravity Rush,7.5,8.6
Major League Baseball 2K7,7,
Black Mesa,8.6,8.9
Dai-2-Ji Super Robot Taisen ? ,,
PGR3 - Project Gotham Racing 3,8.8,
Littlest Pet Shop: Jungle,,
Hyper Light Drifter,8.4,8.3
NHL 11,8.8,
Hot Wheels: Stunt Track Challenge,6.5,
Monopoly,7,
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,,
Disney Sing It! High School Musical 3: Senior Year,,
CyberTiger,,
Jampack Fall 2001,,
MLB 11: The Show,8.9,
Medal of Honor: Frontline,8,
Tales from the Borderlands,,
NFL Blitz 2001,,
LEGO Indiana Jones 2: The Adventure Continues,5.2,
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,,
Waialae Country Club: True Golf Classics,5.8,
Rock Band 2,7.9,
Final Fantasy Anniversary Edition,7.4,
Transformers: War for Cybertron,7.3,
Dead Space,8.8,
BurgerTime,,
Metal Gear Solid V: Ground Zeroes,8.5,
Kane & Lynch 2: Dog Days,6.3,
2002 FIFA World Cup,7.9,
MVP Baseball 2004,9,
Crash Bandicoot: The Wrath of Cortex,6,
Skylanders: SuperChargers,8,
Smurf: Rescue In Gargamel's Castle,,
Beijing 2008,,
Pokemon Trozei!,,
Titanfall,8.9,6.2
Farming Simulator 2013,7.1,7.5
Assassin's Creed: Brotherhood,8.7,8.2
Cave Story+,,
Extreme-G,7.9,
Ready 2 Rumble Boxing,7.8,
Yakuza 5,,
Spelling Challenges and more!,,
Killzone 2: DLC Bundle Pack,,
Dead or Alive Xtreme Beach Volleyball,6.6,
Call of Duty: Black Ops,7,
Disney Sing It: Family Hits,6.5,
Tales of Rebirth,,
XCOM: Enemy Unknown,9.1,
WarioWare D.I.Y.,8.3,
Shin Megami Tensei IV,8.3,6.2
Silent Hill: Shattered Memories,8,
The Fight: Lights Out,4.7,
Madden NFL 06,7.7,
Asphalt: Urban GT,5,
Blur,8.3,
Barbie: Race & Ride,,
Hot Shots Golf: World Invitational,6.5,
Hidden Agenda,6.6,6.6
Mega Man Anniversary Collection,8.5,
SoulCalibur V,,
Remember Me,6.5,7.4
Jeopardy!,,
Rayman Origins,9,8.4
Pro Evolution Soccer 2015,,
Alice: Madness Returns,6.7,
Harvest Moon: Friends of Mineral Town,7.6,
Backyard NBA Basketball,,
Iron Man,5,
Naruto: The Broken Bond,7.6,
Final Fantasy Explorers,7.3,8.5
Kirby's Dream Course,7.5,
Mega Man X7,6.7,
Skylanders: Spyro's Adventure,8.2,5
Call of Duty: Modern Warfare Remastered,8.3,6.9
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,,
Kinect Rush: A Disney Pixar Adventure,6,
Dragon Quest Builders: Revive Alefgard,,
Game Party in Motion,,
Tokimeki Memorial: Forever with You,,
LEGO Worlds,5,7
Diablo,8.3,
GRID: Autosport,,
TMNT,6,
Q*bert,,
Farming Simulator 19,7.3,6.5
Tekken 7,8.1,6.3
Lost: Via Domus,5.5,
Romancing SaGa,6,
Top Spin 3,7,
Sonic & Sega All-Stars Racing Transformed,,
Sly Cooper: Thieves in Time,8,
Middle-Earth: Shadow of Mordor,,
The Lord of the Rings: The Third Age,8.5,
NCAA Football 09,8.4,
NHL 12,8.6,
Phineas and Ferb: Across the 2nd Dimension,,
Cabela's Dangerous Hunts 2011,,
Fable Anniversary,,
LEGO The Lord of the Rings,,
Guitar Hero: Smash Hits,7.5,
Thomas Was Alone,8,8.1
JoJo's Bizarre Adventure: All Star Battle,7.4,
Final Fantasy VIII,8,
Payday 2,,
Octodad: Dadliest Catch,7.8,7.6
Sammy Sosa High Heat Baseball 2001,5.5,
Pro Evolution Soccer 2012,,
Terminator 3: Rise of the Machines,3.5,
Deus Ex: Human Revolution,8.7,8.5
DEFIANCE,,
FIFA Soccer 10,8,
Tom Clancy's HAWX,6.9,
FIFA: Road to World Cup 98,,
International Superstar Soccer '98,9.1,
World Cup 98,8.8,
Final Fantasy: The 4 Heroes of Light,7.2,
Go Diego Go! Great Dinosaur Rescue,,
NASCAR: Dirt to Daytona,8.3,
Kirby and the Rainbow Curse,8.2,8
Unreal Tournament,,
Digimon World 2,,
F1 2013,8,
Tales of Phantasia,,
Prince of Persia: The Two Thrones,8.8,
Xenosaga Episode II: Jenseits von Gut und B??se,7.3,
I Am Bread,6,4.6
Gex: Enter The Gecko,,
Shrek 2: Beg for Mercy,,
Contra: Shattered Soldier,7.3,
Championship Motocross featuring Ricky Carmichael,7.5,
Dragon Ball Z: Chou Saiya Densetsu,,
Skate it,6.6,
Disney Magic World 2,7.5,
My Secret World by Imagine,6,
Fire Emblem: Seisen no Keifu,,
ABZU,8.3,6.9
Tenchu 2: Birth of the Stealth Assassins,8.5,
Tony Hawk's Pro Skater 4,9.2,
Disgaea 4: A Promise Unforgotten,7.9,
Doom 3 BFG Edition,,
Naruto: Uzumaki Chronicles 2,5,
NHL 06,8.5,
Transformers: The Game,6,
NFL Blitz 2000,9.2,
Madden NFL 2002,8.6,
NCAA Football 10,8,
Rapala: We Fish,,
Theme Park,,
The Lego Ninjago Movie Videogame,,
Far Cry Instincts,9,
ATV Offroad Fury: Blazin' Trails,5.9,
Hasbro Family Game Night,7,
Yokai Sangokushi,,
Tony Hawk's Pro Skater 4,9.2,
Tomb Raider: Anniversary,7.7,
BlazBlue: Calamity Trigger,8.5,
Resident Evil: Revelations 2,7.5,7.6
Tales of the Abyss,8,
Bayonetta 2,9.5,8.4
LEGO Marvel Super Heroes 2,7.4,7.4
Blacksite: Area 51,6.3,
Ultra Street Fighter II: The Final Challengers,7,6.6
Petz Dogz 2,,
StarCraft II: Legacy of the Void,8.8,
Rock Band 3,9.2,
Lego Marvel Super Heroes: Universe in Peril,,
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,,
Spyro Orange: The Cortex Conspiracy,7,
Harvest Moon: The Tale of Two Towns,6.3,
Beyond The Beyond,4.8,
Ben 10: Alien Force,4,
Mega Man Star Force 2: Zerker x Ninja / Saurian,,
Madden NFL 06,8.7,
London 2012: The Official Video Game of the Olympic Games,5.5,
NHL 10,9.1,
Harvest Moon: Sunshine Islands,9,
Iron Man,3.8,
Naruto: Ultimate Ninja 2,7.4,
Rock Band 4,7.8,6.4
Zumba Fitness,,
3D Dot Game Heroes,7.5,
Football Manager 2005,,
Midtown Madness 3,8.7,
Nazo no Murasame-Jou (FDS),,
NBA Hangtime,,
Disney Universe,6.7,
Blood Wake,8.4,
Dynasty Warriors 5: Xtreme Legends,5.2,
Final Fantasy X / X-2 HD Remaster,8.3,9
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,,
WWE 2K17,6.8,4.9
Jampack Summer 2002,,
Trivial Pursuit,7.3,
FIFA World Cup Germany 2006,7.9,
Wreckless: ThE YaKuza MisSiOns,,
Anomaly: Warzone Earth,7.9,7.3
Starlink: Battle for Atlas,7.5,6
Super Bomberman,,
Top Spin 3,7.8,
SpongeBob SquarePants: Battle for Bikini Bottom,6.7,
Up,7,
Spider-Man 3,6,
Tony Hawk: Shred,,
FIFA 15,,
SD Gundam G Generation Neo,,
Resident Evil Outbreak File #2,5.8,
NHL 14,8.3,
The Sims 3: World Adventures,8.2,
Bob the Builder: Can We Fix It?,,
XIII,7.7,
Bratz 4 Real,6,
LEGO Jurassic World,,
NHL 18,7.5,3.5
The Legend of Spyro: Dawn of the Dragon,7,
Mega Man Legacy Collection,7.7,6.4
Breath of Fire IV,8.4,
True Crime: Streets of LA,8.1,
Everybody's Golf,8.1,7.8
Petz Wild Animals: Tigerz,,
The Amazing Spider-Man 2 (2014),,
Odin Sphere,8,
Final Fantasy IV: The Complete Collection,8,
The Incredible Hulk,6,
Ms. Pac-Man Maze Madness,,
Soul Sacrifice,7.7,8.2
Jillian Michaels Fitness Ultimatum 2010,,
Arena Football,8,
The Lord of the Rings: The Return of the King,7.4,
NHL Hitz 20-02,7.6,
Classic NES Series: Dr. Mario,,
The Sims: Bustin' Out,8,
"Warhammer 40,000: Space Marine",7.3,
NCAA March Madness 07,5.9,
LEGO Rock Band,7.3,
"Monsters, Inc. Scream Team",7.5,
Harry Potter Collection,,
Tony Hawk's Project 8,6.3,
Yu-Gi-Oh! World Championship Tournament 2004,7.5,
Cabela's Big Game Hunter 2005 Adventures,,
Top Spin 3,8.1,
Knockout Kings 2001,8.6,
Disney Infinity 3.0,,
Army Men: Sarge's Heroes,3.5,
Tom Clancy's HAWX,7.5,8.4
Petz Dogz 2,,
Battlefield 2: Modern Combat,7.5,
Xenoblade Chronicles,8.6,
All-Star Baseball 2002,8.4,
Tetris Party Deluxe,7.3,
Puzzle & Dragons Z + Super Mario Bros. Edition,7.8,
Metroid: Samus Returns,9.1,8.9
WWE 2K16,,
Backyard NFL Football,,
Bolt,5.1,
Need for Speed: Most Wanted,8.3,
NASCAR Rumble,8,
Darksiders II,7.8,7.9
WWE Raw 2,9.1,
Mega Man X2,,
Resident Evil 2,9,
Yakuza 4,7.7,
Manhunt 2,7.5,
Fullmetal Alchemist and the Broken Angel,6.4,
Assassin's Creed: Unity,,
Wolfenstein,7.3,
Dogz,5.5,
Hamtaro: Ham-Hams Unite!,,
Batman Begins,6.8,
DOOM VFR,7.1,8
Dr. Seuss' The Cat in the Hat,6,
Tony Hawk's Proving Ground,7.2,
Just Cause 4,6.5,5.2
Barbie Groovy Games,3,
Defense Grid: The Awakening,8,
Archer Maclean's Mercury,7.7,
Yu-Gi-Oh! Reshef of Destruction,5.5,
Blinx: The Time Sweeper,6.8,
ESPN NFL Football,9.3,
Fatal Fury Special,,
Major League Baseball 2K5,,
DS Bimoji Training,,
Enslaved: Odyssey to the West,7.9,
Dora The Explorer: Dora Saves the Snow Princess,,
No More Heroes,8.2,8.3
Soldier of Fortune: Gold Edition,,
Sonic Forces,5.7,6.9
Kingdom Come: Deliverance,6.9,7.2
MX 2002 Featuring Ricky Carmichael,8,
Frontlines: Fuel of War,7.6,
NCAA Football 07,8.8,
Lunar: Silver Star Story Complete,7.6,10
NBA Showtime: NBA on NBC,6.9,
Dungeons of Dredmor,8,7.7
Soul Reaver 2,,
Lords of the Fallen,6.8,6.5
Metal Gear Solid 3: Subsistence,9.4,
The Godfather (old US sales),,
Daytona USA,,
WWF Raw (2002),6.5,
Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,,
Shin Super Robot Taisen,,
Disney Infinity 2.0: Marvel Super Heroes,,
Catz,5,
Ratchet & Clank: Quest for Booty,7.6,
Jump Super Stars,,
Inazuma Eleven GO: Dark / Shine,,
Poochy & Yoshi's Woolly World,7.5,7.9
MX vs. ATV: Alive,6.9,
The Activision Decathlon,,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,,
Fighting Force 2,3,
Sakura Wars,,
Extermination,6.9,
Batman: Vengeance,7.1,
Disgaea 3: Absence of Justice,7.8,
Puyo Puyo Tetris,8.3,8.1
Rapala Tournament Fishing!,,
Sniper Elite 4,7.7,6.9
Secret Agent Clank(US sales),7.2,
Madagascar: Escape 2 Africa,4.6,
Derby Stallion 04,,
NBA 2K8,7.9,
Dragon Ball: Xenoverse 2,8,8
Purr Pals,6.5,
Skylanders: SuperChargers,,
Tony Hawk's Pro Skater 3,9.5,
Mega Man Zero,8.8,
Lara Croft and the Guardian of Light,8.3,
Contender 2,5,
Star Wars: Dark Forces,5,
Grease,,
Medieval II: Total War,8.8,
Yakuza: Dead Souls,7,
Tiger Woods PGA Tour 13,6.5,
Legends of WrestleMania,,
SD Gundam G Generation Zero,,
Wolfenstein II: The New Colossus,8.6,6.7
Kingdom Hearts: Final Mix,,
Door Kickers,8.3,7.7
Super Robot Taisen F,,
Spec Ops: The Line,8,
Shrek 2,6.7,
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,,
Monster Jam: Path of Destruction,,
SpongeBob SquarePants: SuperSponge,,
Super Robot Taisen F Kanketsuhen,,
ZhuZhu Pets 2: Featuring The Wild Bunch,,
Rory McIlroy PGA Tour,6.1,3.8
Donkey Kong Jungle Climber,7.8,
Tak and the Power of Juju,5,
Lips: Number One Hits,7.5,
Mortal Kombat 3,5,
Petz Catz Clan,5,
Turok: Evolution,7.1,
Jak X: Combat Racing,8,
Project CARS 2,8.2,6.1
Viva Pinata: Pocket Paradise,8.1,
American Idol,4,
Top Gun: Fire at Will!,,
Barbie Horse Adventures: Riding Camp,5,
Disney Infinity 3.0,,
Red Dead Revolver,7.5,
CrossworDS,,
ModNation Racers,7.7,
Dynasty Warriors: Gundam 3,6.5,
Iron Man,5,
SingStar Summer Party,,
NHL 14,8.3,
The SpongeBob SquarePants Movie,6.8,
Dragon Ball Z: Shin Budokai,7.4,
FIFA 07 Soccer,8.1,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,,
Are You Smarter than a 5th Grader? Make the Grade,,
Tiger Woods PGA Tour 08,8.5,
Medarot 2: Kabuto / Kuwagata Version,,
Bulletstorm,8.4,
Dance Dance Revolution Ultramix,8.7,
F.E.A.R.,8.1,
Crash Tag Team Racing,7.4,
Enslaved: Odyssey to the West,8,
Front Mission 4,6.8,
The Fairly Odd Parents: Breakin' Da Rules,,
Tiger Woods PGA Tour 11,8.3,
NBA Live 10,7.9,
Mega Man Battle Network 2,8.5,
Hotel Dusk: Room 215,8,6.9
Just Dance 2015,8.1,7.4
Assassin's Creed II,8.5,
FIFA 18,,
SRS: Street Racing Syndicate,,
System 3 presents Ferrari Challenge Trofeo Pirelli,,
Phineas and Ferb: Across the 2nd Dimension,,
Let's Draw!,,
Dragon Ball Z: Ultimate Tenkaichi,6,
Def Jam: Fight for NY,8.7,
Action Force,,
Valkyria Chronicles II,8.1,
FIFA 99,,
Gauntlet Legends,6,
Kidou Senshi Gundam: Extreme VS,,
Bust A Groove,7.7,
Fire Emblem: Path of Radiance,8.6,
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,,
Pachi-Slot Aruze Oukoku 2,,
Monster High: Ghoul Spirit,,
METRO 2033,7.4,
Mario Tennis Ultra Smash,6.1,
Petz Nursery,,
Tactics Ogre: Let Us Cling Together,9,
Tales of Symphonia Chronicles,,
Two Worlds II,6.5,
Bratz: Rock Angelz,,
NBA 2K18,7,
50 Classic Games,,
SSX Tricky,8.4,
The Walking Dead: Survival Instinct,4.5,
Greg Hastings' Tournament Paintball,7.8,
Harry Potter and the Deathly Hallows - Part 1,,
Summer Sports: Paradise Island,4.4,
