game,platform,publisher,developer,games_sold,year
Virtua Cop,SAT,Sega,Sega-AM2,0.62,1995
Metal Gear Solid 2: Substance,XB,Konami,Konami Computer Entertainment Japan,0.62,2002
Tony Hawk's American Wasteland,XB,Activision,Neversoft Entertainment,0.62,2005
WWF in Your House,PS,Acclaim Entertainment,"Sculptured Software, Inc.",0.62,1996
Family Feud: 2010 Edition,Wii,Ubisoft,Ludia Inc.,0.62,2009
The Princess and the Frog,DS,Disney Interactive Studios,Griptonite Games,0.62,2009
Wild ARMs 3,PS2,Sony Computer Entertainment,Media.Vision,0.62,2002
NBA ShootOut '97,PS,Sony Computer Entertainment,SCEE London Studio,0.62,1997
Madden NFL 07,GC,EA Sports,EA Tiburon,0.62,2006
LEGO The Hobbit,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,0.62,2014
Battlezone,2600,Atari,Atari,0.62,1983
Tiger Woods PGA Tour 2004,XB,EA Sports,EA Redwood Shores,0.62,2003
Donkey Kong Barrel Blast,Wii,Nintendo,Paon Corporation,0.62,2007
Jak and Daxter: The Lost Frontier,PSP,Sony Computer Entertainment,High Impact Games,0.62,2009
Guitar Hero: Metallica,PS3,Activision,Neversoft Entertainment,0.62,2009
World of Final Fantasy,PS4,Square Enix,Square Enix,0.62,2016
Tak 2: The Staff of Dreams,PS2,THQ,Avalanche Software,0.62,2004
Warriors Orochi 3,PS3,Tecmo Koei,Omega Force,0.62,2012
Red Steel 2,Wii,Ubisoft,Ubisoft Paris,0.62,2010
Disney Universe,PS3,Disney Interactive Studios,Disney Interactive Studios,0.62,2011
Viewtiful Joe,GC,Capcom,Clover Studio,0.62,2003
Beetle Adventure Racing!,N64,Electronic Arts,"Paradigm Entertainment, Electronic Arts",0.62,1999
The Urbz: Sims in the City,GBA,Electronic Arts,Griptonite Games,0.62,2004
Disney's 102 Dalmatians: Puppies to the Rescue,PS,Eidos Interactive,Toys for Bob,0.62,2000
South Park: The Fractured But Whole,XOne,Ubisoft,Ubisoft San Francisco,0.62,2017
Strike Force Bowling,PS2,Crave Entertainment,Lab Rats Games,0.62,2004
DJ Hero 2,Wii,Activision,FreeStyle Games,0.62,2010
The Black Eyed Peas Experience,Wii,Ubisoft,Ubisoft,0.62,2011
F1 2017,PS4,Deep Silver,Codemasters,0.62,2017
Bolt,DS,Disney Interactive Studios,Avalanche Software,0.62,2008
Halloween,2600,Unknown,Wizard Video Games,0.62,1983
Start the Party!,PS3,Sony Computer Entertainment,Supermassive Games Ltd.,0.62,2010
Bass Landing,PS,Agetec,ASC Games,0.62,2000
Shellshock: Nam 67,PS2,Eidos Interactive,Guerrilla Games,0.62,2004
Pixel Piracy,PC,Re-Logic,Quadro Delta,0.62,2015
Mario's Picross,GB,Nintendo,Jupiter Multimedia,0.62,1995
Pac-Man Player's Choice Bundle,GC,Namco,Namco,0.62,2003
Tousouchuu: Shijou Saikyou no Hunter-Tachi Kara Nigekire!,3DS,Namco Bandai Games,Infinity,0.62,2012
Prince of Persia: The Forgotten Sands,X360,Ubisoft,Ubisoft Montreal,0.62,2010
NHL 15,PS4,EA Sports,EA Canada,0.62,2014
Fighters MEGAMiX,SAT,Sega,Sega-AM2,0.62,1997
Bahamut Lagoon,SNES,Square,SquareSoft,0.62,1996
Tomb Raider III: Adventures of Lara Croft,PC,Eidos Interactive,Core Design Ltd.,0.62,1998
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,Capcom,Capcom,0.62,2007
Battle of Giants: Dragons,DS,Ubisoft,Ubisoft Quebec,0.62,2009
Harry Potter and the Half-Blood Prince,DS,Electronic Arts,Bright Light Productions,0.62,2009
Dragon Quest Monsters: Joker 2 Professional,DS,Square Enix,TOSE Software,0.62,2011
NFL Quarterback Club 99,N64,Acclaim Entertainment,Iguana Entertainment,0.62,1998
Super Robot Taisen ?  Gaiden,PS,Banpresto,Banpresto,0.62,2001
Pac-Man Party,Wii,Namco Bandai,Namco Bandai Games,0.62,2010
Wall-E,X360,THQ,Heavy Iron Studios,0.62,2008
Tiger Woods PGA Tour 12: The Masters,X360,EA Sports,EA Tiburon,0.62,2011
SpongeBob's Atlantis SquarePantis,Wii,THQ,Blitz Games,0.62,2007
NBA 2K9,PS3,2K Sports,Visual Concepts,0.62,2008
Dragon Ball Z: Ultimate Tenkaichi,PS3,Namco Bandai,Spike,0.62,2011
Wet,PS3,Bethesda Softworks,Artificial Mind and Movement,0.62,2009
Formula 1: Championship Edition,PS3,Sony Computer Entertainment,Studio Liverpool,0.61,2007
WWE SmackDown vs. Raw 2010,PSP,THQ,Yuke's,0.61,2009
SingStar Singalong With Disney,PS2,Sony Computer Entertainment,SCEE London Studio,0.61,2008
Fire Emblem: Shadow Dragon,DS,Nintendo,Intelligent Systems,0.61,2009
Metroid Prime: Trilogy,Wii,Nintendo,Retro Studios,0.61,2009
NFL Fever 2003,XB,Microsoft Game Studios,Microsoft Game Studios,0.61,2002
Vanquish,PS3,Sega,PlatinumGames,0.61,2010
Samurai Warriors 2,PS2,KOEI,Omega Force,0.61,2006
Advance Wars: Days of Ruin,DS,Nintendo,Intelligent Systems,0.61,2008
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,THQ,Sonic Team,0.61,2005
Just Dance 2015,X360,Ubisoft,Ubisoft Paris,0.61,2014
Robotech: Battlecry,PS2,TDK Mediactive,Vicious Cycle,0.61,2002
WWE 2K15,XOne,2K Sports,Visual Concepts,0.61,2014
Dora the Explorer: Super Spies,GBA,Gotham Games,Cinegroupe,0.61,2004
Sacred 2: Fallen Angel,PS3,CDV Software Entertainment,Ascaron Entertainment,0.61,2009
Dynasty Warriors 8,PS3,Tecmo Koei,Omega Force,0.61,2013
Skylanders SWAP Force,WiiU,Activision,Unknown,0.61,2013
Texas Hold 'Em Poker,GBA,Majesco,Skyworks Technologies,0.61,2004
Time Crisis 3,PS2,Namco,Namco,0.61,2003
Knowledge is Power,PS4,Sony Interactive Entertainment,Wish Studio,0.61,2017
Ganbaru Watashi no Kakei Diary,DS,Nintendo,syn Sophia,0.61,2007
Rayman Legends,PS3,Ubisoft,Ubisoft Montpellier,0.61,2013
Tony Hawk: RIDE,X360,Activision,Robomodo / Buzz Monkey Software,0.61,2009
Small Soldiers,PS,Electronic Arts,DreamWorks Interactive,0.61,1998
Half-Life 2,XB,Electronic Arts,Valve Software,0.61,2005
Duke Nukem: Total Meltdown,PS,GT Interactive,Aardvark Software,0.61,1997
Machinarium,PC,Amanita Design,Amanita Design,0.61,2009
Cabela's Monster Buck Hunter,Wii,Activision,FUN Labs,0.61,2010
Major League Baseball 2K8,X360,2K Sports,Kush Games,0.61,2008
New Play Control! Pikmin 2,Wii,Nintendo,Nintendo EAD,0.61,2012
Pro Evolution Soccer 2011,X360,Konami,Konami,0.61,2010
Major League Baseball 2K9,X360,2K Sports,Visual Concepts,0.61,2009
World of Zoo,Wii,THQ,Blue Fang Games,0.61,2009
Final Fantasy IV Advance,GBA,Square Enix,Square Enix,0.61,2005
Madden NFL 2003,GBA,EA Sports,BudCat Creations,0.61,2002
EA Sports UFC 2,XOne,EA Sports,EA Canada,0.61,2016
Petz: Dogz Pack,DS,Ubisoft,Ubisoft,0.61,2008
Harry Potter and the Goblet of Fire,GBA,Electronic Arts,Magic Pockets,0.61,2005
Tomb Raider Chronicles,PS,Eidos Interactive,Core Design Ltd.,0.61,2000
Dragon Ball Z: Buu's Fury,GBA,Atari,Webfoot Technologies,0.61,2004
Madden NFL 2002,GC,EA Sports,EA Sports,0.61,2001
James Cameron's Avatar: The Game,PSP,Ubisoft,Ubisoft Montreal,0.61,2009
MySims Racing,DS,Electronic Arts,Artificial Mind and Movement,0.61,2009
Tony Hawk: RIDE,PS3,Activision,Robomodo / Buzz Monkey Software,0.61,2009
Spider-Man: Mysterio's Menace,GBA,Activision,Vicarious Visions,0.61,2001
Madden NFL 2000,N64,EA Sports,EA Tiburon,0.61,1999
Game & Watch Gallery 4,GBA,Nintendo,Nintendo,0.61,2002
Naruto: Ultimate Ninja (US sales),PS2,Namco Bandai Games,CyberConnect2,0.61,2008
New Carnival Games,Wii,2K Games,Cat Daddy Games,0.61,2010
Wipeout: The Game,DS,Activision,Endemol,0.61,2010
Dragon Age: Inquisition,PS3,Electronic Arts,BioWare Edmonton,0.61,2014
Tony Hawk's Underground,GBA,Activision,Vicarious Visions,0.6,2003
Monster Trucks,GBA,Majesco,Skyworks Technologies,0.6,2004
Doom 3 BFG Edition,PC,Bethesda Softworks,Unknown,0.6,2012
Wave Race: Blue Storm,GC,Nintendo,Nintendo Software Technology Corporation,0.6,2001
Ben 10: Alien Force,PSP,D3 Publisher,Monkey Bar Games,0.6,2008
Backyard Wrestling: Don't Try This at Home,PS2,Eidos Interactive,Paradox Development,0.6,2003
FORCED,PC,BetaDwarf,Unknown,0.6,2013
Fight Night Round 2,XB,EA Sports,EA Sports,0.6,2005
MonHun Nikki: Poka Poka Ailu Mura,PSP,Capcom,From Software,0.6,2010
NBA 2K8,PS2,2K Sports,Visual Concepts,0.6,2007
Okami,Wii,Capcom,Ready at Dawn Studios,0.6,2008
NBA 2K7,X360,2K Sports,Visual Concepts,0.6,2006
Beat Hazard,PC,Cold Beam Games,ShadowRage,0.6,2010
Suikoden,PS,Konami,Konami,0.6,1996
Muramasa: The Demon Blade,Wii,Ignition Entertainment,Vanillaware,0.6,2009
L.A. Noire,PS4,Rockstar Games,Team Bondi,0.6,2017
Fighters Uncaged,X360,Ubisoft,AMA Studios,0.6,2010
Secret Agent Clank,PS2,Sony Computer Entertainment,Sanzaru Games,0.6,2009
Rayman Arena,PS2,Ubisoft,Ubisoft,0.6,2002
Wolfenstein: The Old Blood,PC,Bethesda Softworks,MachineGames,0.6,2015
Call of Juarez: Bound in Blood,X360,Ubisoft,Techland,0.6,2009
Jaws Unleashed,PS2,Majesco,Appaloosa Interactive,0.6,2006
Puyo Puyo Sun,SAT,Compile,Compile,0.6,1997
Half-Life,PS2,Sierra Entertainment,Gearbox Software,0.6,2001
The Golden Compass,DS,Sega,Shiny Entertainment,0.6,2007
The Golden Compass,Wii,Sega,Shiny Entertainment,0.6,2007
Split/Second,X360,Disney Interactive Studios,Black Rock Studio,0.6,2010
Baldur's Gate: Tales of the Sword Coast,PC,Interplay,BioWare,0.6,1999
International Superstar Soccer '98,N64,Konami,Konami,0.6,1998
International Superstar Soccer 64,N64,Konami,Konami Computer Entertainment Osaka,0.6,1997
Mickey's Speedway USA,N64,Nintendo,Rare Ltd.,0.6,2000
Ni no Kuni: Dominion of the Dark Djinn,DS,Level 5,Level 5/Studio Ghibli,0.6,2010
Phantasy Star Portable 2,PSP,Sega,Alfa System,0.6,2010
Shogun 2: Total War,PC,Sega,The Creative Assembly,0.6,2011
TOCA Championship Racing,PS,3DO,Codemasters,0.6,1998
NHL 17,XOne,EA Sports,EA Canada,0.6,2016
NASCAR Heat 2002,PS2,Infogrames,Monster Games Inc.,0.6,2001
Littlest Pet Shop: Garden,DS,Electronic Arts,EA Salt Lake,0.6,2008
Transformers: The Game,X360,Activision,Traveller's Tales,0.6,2007
From TV Animation One Piece: Grand Battle 2,PS,Bandai,Bandai,0.6,2002
BeatMania Append 3rdMix,PS,Konami,Konami,0.6,1998
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,Disney Interactive Studios,Magenta Software,0.6,2008
Game of Thrones: A Telltale Games Series,PC,Telltale Games,Telltale Games,0.6,2014
New Play Control! Donkey Kong Jungle Beat,Wii,Nintendo,Nintendo EAD Tokyo,0.6,2009
Xena: Warrior Princess,PS,Electronic Arts,VU Games,0.6,1999
Just Dance 2016,WiiU,Ubisoft,Ubisoft Paris,0.6,2015
Tales of Zesteria,PS3,Namco Bandai Games,Unknown,0.6,2015
SimCity DS,DS,Electronic Arts,Aki Corporation,0.6,2007
Front Mission,SNES,Square,G-Craft,0.6,1995
Lucius,PC,Lace Mamba Global,Shiver Games,0.6,2012
Gravity Rush,PSV,Sony Computer Entertainment,SCE Japan Studio,0.6,2012
Major League Baseball 2K7,PS2,2K Sports,Kush Games,0.6,2007
Black Mesa,PC,Valve Corporation,Black Mesa Team,0.6,2012
Dai-2-Ji Super Robot Taisen ? ,PS2,Banpresto,Banpresto,0.6,2003
PGR3 - Project Gotham Racing 3,X360,Microsoft Game Studios,Bizarre Creations,0.6,2005
Littlest Pet Shop: Jungle,DS,Electronic Arts,EA Salt Lake,0.6,2008
Hyper Light Drifter,PC,Rebellion Games,Rebellion Games,0.6,2016
NHL 11,PS3,EA Sports,EA Canada,0.59,2010
Hot Wheels: Stunt Track Challenge,PS2,THQ,Climax Group,0.59,2004
Monopoly,X360,Electronic Arts,EA Bright Light,0.59,2008
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,Konami,Diamond Head,0.59,1997
Disney Sing It! High School Musical 3: Senior Year,Wii,Disney Interactive Studios,Zoe Mode,0.59,2009
CyberTiger,PS,Electronic Arts,EA Redwood Shores,0.59,1999
Jampack Fall 2001,PS,Sony Computer Entertainment,Sony Computer Entertainment America,0.59,2001
MLB 11: The Show,PS3,Sony Computer Entertainment,SCEA San Diego Studios,0.59,2011
Medal of Honor: Frontline,GC,Electronic Arts,EA Los Angeles,0.59,2002
Tales from the Borderlands,PC,Telltale Games,Telltale Games,0.59,2014
NFL Blitz 2001,PS,Midway Games,Midway Games,0.59,2000
LEGO Indiana Jones 2: The Adventure Continues,PSP,LucasArts,Traveller's Tales,0.59,2009
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,Konami,Diamond Head,0.59,1998
Waialae Country Club: True Golf Classics,N64,Nintendo,Tikipod,0.59,1998
Rock Band 2,PS2,MTV Games,Harmonix Music Systems,0.59,2008
Final Fantasy Anniversary Edition,PSP,Square Enix,Square Enix,0.59,2007
Transformers: War for Cybertron,X360,Activision,High Moon Studios,0.59,2010
Dead Space,PC,Electronic Arts,EA Redwood Shores,0.59,2008
BurgerTime,2600,Mattel Interactive,Mattel,0.59,1982
Metal Gear Solid V: Ground Zeroes,PS3,Konami Digital Entertainment,Kojima Productions,0.59,2014
Kane & Lynch 2: Dog Days,PS3,Square Enix,IO Interactive,0.59,2010
2002 FIFA World Cup,PS2,EA Sports,EA Canada,0.59,2002
MVP Baseball 2004,XB,EA Sports,EA Sports,0.59,2004
Crash Bandicoot: The Wrath of Cortex,GC,Universal Interactive,Traveller's Tales,0.59,2002
Skylanders: SuperChargers,WiiU,Activision,Vicarious Visions,0.59,2015
Smurf: Rescue In Gargamel's Castle,2600,Coleco,Coleco,0.59,1982
Beijing 2008,X360,Sega,Eurocom Entertainment Software,0.59,2008
Pokemon Trozei!,DS,Nintendo,Genius Sonority Inc.,0.59,2006
Titanfall,PC,Electronic Arts,Respawn Entertainment,0.59,2014
Farming Simulator 2013,PC,Focus Home Interactive,Giants Software,0.59,2012
Assassin's Creed: Brotherhood,PC,Ubisoft,Ubisoft Montreal,0.59,2011
Cave Story+,PC,Studio Pixel,Studio Pixel,0.59,2011
Extreme-G,N64,Acclaim Entertainment,Probe Entertainment Limited,0.59,1997
Ready 2 Rumble Boxing,N64,Midway Games,Point of View,0.59,1999
Yakuza 5,PS3,Sega,Sega,0.59,2015
Spelling Challenges and more!,DS,Crave Entertainment,Supersonic Software,0.59,2007
Killzone 2: DLC Bundle Pack,PSN,Konami Digital Entertainment,Guerrilla Games,0.59,2015
Dead or Alive Xtreme Beach Volleyball,XB,Tecmo,Team Ninja,0.59,2003
Call of Duty: Black Ops,DS,Activision,n-Space,0.59,2010
Disney Sing It: Family Hits,Wii,Disney Interactive Studios,Zoe Mode,0.59,2010
Tales of Rebirth,PS2,Namco,Namco Tales Studio,0.59,2004
XCOM: Enemy Unknown,PS3,2K Games,Firaxis Games,0.59,2012
WarioWare D.I.Y.,DS,Nintendo,Intelligent Systems,0.59,2010
Shin Megami Tensei IV,3DS,Atlus,Atlus,0.59,2013
Silent Hill: Shattered Memories,PS2,Konami,Climax Group,0.59,2010
The Fight: Lights Out,PS3,Sony Computer Entertainment,ColdWood Interactive,0.59,2010
Madden NFL 06,X360,EA Sports,EA Tiburon,0.59,2005
Asphalt: Urban GT,DS,Ubisoft,Gameloft,0.59,2004
Blur,X360,Activision,Bizarre Creations,0.59,2010
Barbie: Race & Ride,PS,Mattel Interactive,Runecraft,0.59,1999
Hot Shots Golf: World Invitational,PSV,Sony Computer Entertainment,Clap Hanz,0.59,2012
Hidden Agenda,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,0.59,2017
Mega Man Anniversary Collection,PS2,Capcom,Atomic Planet Entertainment,0.59,2004
SoulCalibur V,X360,Namco Bandai,Project Soul,0.59,2012
Remember Me,PC,Capcom,DONTNOD Entertainment,0.59,2013
Jeopardy!,Wii,THQ,"Pipeworks Software, Inc.",0.59,2010
Rayman Origins,PSV,Ubisoft,UBIart Montpellier,0.59,2012
Pro Evolution Soccer 2015,PS3,Konami Digital Entertainment,PES Productions,0.59,2014
Alice: Madness Returns,PS3,Electronic Arts,Spicy Horse,0.59,2011
Harvest Moon: Friends of Mineral Town,GBA,Natsume,TOSE Software,0.59,2003
Backyard NBA Basketball,PS2,Atari,Humongous Entertainment,0.59,2003
Iron Man,Wii,Sega,Secret Level,0.59,2008
Naruto: The Broken Bond,X360,Ubisoft,Ubisoft Montreal,0.59,2008
Final Fantasy Explorers,3DS,Square Enix,Square Enix,0.59,2016
Kirby's Dream Course,SNES,Nintendo,HAL Laboratory,0.59,1995
Mega Man X7,PS2,Capcom,Capcom,0.58,2003
Skylanders: Spyro's Adventure,3DS,Activision,Toys for Bob,0.58,2011
Call of Duty: Modern Warfare Remastered,PS4,Activision,Infinity Ward,0.58,2017
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,PS2,THQ,Incinerator Studios,0.58,2008
Kinect Rush: A Disney Pixar Adventure,X360,Microsoft Studios,Asobo Studio,0.58,2012
Dragon Quest Builders: Revive Alefgard,PS4,Square Enix,Square Enix,0.58,2016
Game Party in Motion,X360,Warner Bros. Interactive,FarSight Studios,0.58,2010
Tokimeki Memorial: Forever with You,PS,Konami,Konami,0.58,1995
LEGO Worlds,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,0.58,2017
Diablo,PS,Electronic Arts,Climax Group,0.58,1998
GRID: Autosport,PC,Codemasters,Codemasters,0.58,2014
TMNT,X360,Ubisoft,Ubisoft Montreal,0.58,2007
Q*bert,2600,Parker Bros.,Gottlieb,0.58,1983
Farming Simulator 19,PC,Focus Home Interactive,Giants Software,0.58,2018
Tekken 7,XOne,Namco Bandai Games,Namco Bandai Games,0.58,2017
Lost: Via Domus,X360,Ubisoft,Ubisoft Montreal,0.58,2008
Romancing SaGa,PS2,Square Enix,Square Enix,0.58,2005
Top Spin 3,Wii,2K Sports,Pam Development,0.58,2008
Sonic & Sega All-Stars Racing Transformed,X360,Sega,Sumo Digital,0.58,2012
Sly Cooper: Thieves in Time,PS3,Sony Computer Entertainment,Sanzaru Games,0.58,2013
Middle-Earth: Shadow of Mordor,PS3,Warner Bros. Interactive Entertainment,Monolith Productions,0.58,2014
The Lord of the Rings: The Third Age,PS2,Electronic Arts,EA Redwood Shores,0.58,2004
NCAA Football 09,PS3,EA Sports,EA Tiburon,0.58,2008
NHL 12,PS3,EA Sports,EA Canada,0.58,2011
Phineas and Ferb: Across the 2nd Dimension,Wii,Disney Interactive Studios,High Impact Games,0.58,2011
Cabela's Dangerous Hunts 2011,Wii,Activision,Cauldron,0.58,2010
Fable Anniversary,PC,Microsoft Studios,Lionhead Studios,0.58,2014
LEGO The Lord of the Rings,PC,Warner Bros. Interactive Entertainment,Unknown,0.58,2012
Guitar Hero: Smash Hits,Wii,Activision,Neversoft Entertainment,0.58,2009
Thomas Was Alone,PC,DECK13 Interactive GmbH,Mike Bithell Games,0.58,2012
JoJo's Bizarre Adventure: All Star Battle,PS3,Namco Bandai Games,CyberConnect2,0.58,2014
Final Fantasy VIII,PC,Square EA,SquareSoft,0.58,2000
Payday 2,X360,505 Games,Overkill Software,0.58,2013
Octodad: Dadliest Catch,PC,Young Horses,Unknown,0.58,2014
Sammy Sosa High Heat Baseball 2001,PS,3DO,Team .366,0.58,2000
Pro Evolution Soccer 2012,PSP,Konami,Konami,0.58,2011
Terminator 3: Rise of the Machines,PS2,Atari,Black Ops Entertainment,0.58,2003
Deus Ex: Human Revolution,PC,Square Enix,Eidos Montreal,0.58,2011
DEFIANCE,X360,Trion Worlds,Trion Worlds,0.58,2013
FIFA Soccer 10,DS,EA Sports,Exient Entertainment,0.58,2009
Tom Clancy's HAWX,X360,Ubisoft,Ubisoft Romania,0.58,2009
FIFA: Road to World Cup 98,N64,EA Sports,EA Canada,0.58,1997
International Superstar Soccer '98,N64,Konami,Konami Computer Entertainment Osaka,0.58,1998
World Cup 98,N64,EA Sports,EA Canada,0.58,1998
Final Fantasy: The 4 Heroes of Light,DS,Square Enix,Matrix Software,0.58,2010
Go Diego Go! Great Dinosaur Rescue,Wii,2K Play,High Voltage Software,0.58,2008
NASCAR: Dirt to Daytona,PS2,Infogrames,Monster Games Inc.,0.58,2002
Kirby and the Rainbow Curse,WiiU,Nintendo,HAL Laboratory,0.58,2015
Unreal Tournament,PS2,Infogrames,Epic Games,0.58,2000
Digimon World 2,PS,Bandai,Bandai,0.58,2001
F1 2013,PS3,Codemasters,Codemasters Birmingham,0.58,2013
Tales of Phantasia,PS,Namco,Namco Tales Studio / Wolfteam,0.58,1998
Prince of Persia: The Two Thrones,XB,Ubisoft,Ubisoft Montreal,0.58,2005
Xenosaga Episode II: Jenseits von Gut und B??se,PS2,Namco,Monolith Soft,0.58,2005
I Am Bread,PC,Bossa Studios,Bossa Studios,0.58,2015
Gex: Enter The Gecko,PS,Midway Games,Crystal Dynamics,0.58,1998
Shrek 2: Beg for Mercy,GBA,Activision,Vicarious Visions,0.58,2004
Contra: Shattered Soldier,PS2,Konami,Konami Computer Entertainment Tokyo,0.58,2002
Championship Motocross featuring Ricky Carmichael,PS,THQ,Funcom,0.58,1999
Dragon Ball Z: Chou Saiya Densetsu,SNES,Bandai,TOSE,0.58,1992
Skate it,Wii,Electronic Arts,EA Montreal,0.58,2008
Disney Magic World 2,3DS,Nintendo,High Horse Entertainment,0.58,2016
My Secret World by Imagine,DS,Ubisoft,Ubisoft Milan,0.58,2008
Fire Emblem: Seisen no Keifu,SNES,Nintendo,Intelligent Systems,0.58,1996
ABZU,PC,505 Games,Giant Squid Studios,0.58,2016
Tenchu 2: Birth of the Stealth Assassins,PS,Activision,Acquire,0.58,2000
Tony Hawk's Pro Skater 4,GC,Activision,Neversoft Entertainment,0.58,2002
Disgaea 4: A Promise Unforgotten,PS3,NIS America,Nippon Ichi Software,0.58,2011
Doom 3 BFG Edition,PS3,Bethesda Softworks,Unknown,0.58,2012
Naruto: Uzumaki Chronicles 2,PS2,Namco Bandai,Cavia Inc.,0.58,2007
NHL 06,PS2,EA Sports,EA Canada,0.58,2005
Transformers: The Game,Wii,Activision,Traveller's Tales,0.58,2007
NFL Blitz 2000,N64,Midway Games,Avalanche Software,0.58,1999
Madden NFL 2002,XB,EA Sports,EA Sports,0.58,2001
NCAA Football 10,PS2,EA Sports,EA Tiburon,0.58,2009
Rapala: We Fish,Wii,Activision,FUN Labs,0.57,2009
Theme Park,PS,Electronic Arts,Bullfrog Productions,0.57,1995
The Lego Ninjago Movie Videogame,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,0.57,2017
Far Cry Instincts,XB,Ubisoft,Ubisoft Montreal,0.57,2005
ATV Offroad Fury: Blazin' Trails,PSP,Sony Computer Entertainment,Climax Group,0.57,2005
Hasbro Family Game Night,PS2,Electronic Arts,EA Bright Light,0.57,2008
Yokai Sangokushi,3DS,Level 5,Level 5,0.57,2016
Tony Hawk's Pro Skater 4,GBA,Activision,Vicarious Visions,0.57,2002
Tomb Raider: Anniversary,PSP,Eidos Interactive,Crystal Dynamics,0.57,2007
BlazBlue: Calamity Trigger,PS3,Aksys Games,Arc System Works,0.57,2009
Resident Evil: Revelations 2,PS4,Capcom,Capcom,0.57,2015
Tales of the Abyss,PS2,Namco,Namco Tales Studio,0.57,2006
Bayonetta 2,NS,Nintendo,PlatinumGames,0.57,2018
LEGO Marvel Super Heroes 2,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,0.57,2017
Blacksite: Area 51,X360,Midway Games,Midway Studios Austin,0.57,2007
Ultra Street Fighter II: The Final Challengers,NS,Capcom,Capcom,0.57,2017
Petz Dogz 2,Wii,Ubisoft,Yuke's Media Creations,0.57,2007
StarCraft II: Legacy of the Void,PC,Blizzard Entertainment,Blizzard Entertainment,0.57,2015
Rock Band 3,PS3,MTV Games,Harmonix Music Systems,0.57,2010
Lego Marvel Super Heroes: Universe in Peril,PSV,Warner Bros. Interactive Entertainment,TT Fusion,0.57,2014
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,Bandai,Bandai,0.57,2000
Spyro Orange: The Cortex Conspiracy,GBA,Vivendi Games,Vicarious Visions,0.57,2004
Harvest Moon: The Tale of Two Towns,DS,Natsume,Marvelous Interactive,0.57,2011
Beyond The Beyond,PS,Sony Computer Entertainment,Camelot Software Planning,0.57,1996
Ben 10: Alien Force,PS2,D3 Publisher,Monkey Bar Games,0.57,2008
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,Capcom,Capcom,0.57,2008
Madden NFL 06,GC,EA Sports,EA Tiburon,0.57,2005
London 2012: The Official Video Game of the Olympic Games,X360,Sega,Sega Studios Australia,0.57,2012
NHL 10,PS3,EA Sports,EA Canada,0.57,2009
Harvest Moon: Sunshine Islands,DS,Natsume,Marvelous Interactive,0.57,2009
Iron Man,X360,Sega,Secret Level,0.57,2008
Naruto: Ultimate Ninja 2,PS2,Namco Bandai Games,CyberConnect2,0.57,2008
Rock Band 4,PS4,Harmonix Music Systems,Harmonix Music Systems,0.57,2015
Zumba Fitness,PS3,Majesco,"Pipeworks Software, Inc.",0.57,2010
3D Dot Game Heroes,PS3,Atlus,Silicon Studio,0.57,2010
Football Manager 2005,PC,Sega,Sports Interactive,0.57,2004
Midtown Madness 3,XB,Microsoft Game Studios,Digital Illusions,0.57,2003
Nazo no Murasame-Jou (FDS),NES,Nintendo,Nintendo EAD,0.57,1986
NBA Hangtime,N64,Midway Games,Fun Com,0.57,1997
Disney Universe,X360,Disney Interactive Studios,Disney Interactive Studios,0.57,2011
Blood Wake,XB,Microsoft,Stormfront Studios,0.57,2001
Dynasty Warriors 5: Xtreme Legends,PS2,KOEI,Omega Force,0.57,2005
Final Fantasy X / X-2 HD Remaster,PC,Square Enix,Square Enix,0.57,2016
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,DS,THQ,Natsume,0.57,2008
WWE 2K17,XOne,2K Games,Yuke's,0.57,2016
Jampack Summer 2002,PS2,Sony Computer Entertainment,Sony Computer Entertainment America,0.57,2002
Trivial Pursuit,Wii,Electronic Arts,Adrenalin Interactive,0.57,2009
FIFA World Cup Germany 2006,PS2,EA Sports,EA Canada,0.57,2006
Wreckless: ThE YaKuza MisSiOns,XB,Activision,Bunkasha Publishing,0.57,2002
Anomaly: Warzone Earth,PC,Unknown,11 bit studios,0.57,2011
Starlink: Battle for Atlas,NS,Ubisoft,Ubisoft Toronto,0.57,2018
Super Bomberman,SNES,Hudson Soft,Produce!,0.57,1993
Top Spin 3,PS3,2K Sports,Pam Development,0.57,2008
SpongeBob SquarePants: Battle for Bikini Bottom,XB,THQ,Heavy Iron Studios,0.57,2003
Up,Wii,THQ,THQ,0.57,2009
Spider-Man 3,X360,Activision,Treyarch,0.57,2007
Tony Hawk: Shred,Wii,Activision,Buzz Monkey Software,0.57,2010
FIFA 15,Wii,EA Sports,EA Canada,0.57,2014
